"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Create exercise","LMS service","Mon Aug 04 15:19:45 GMT 2025","passed","Mon Aug 04 15:19:45 GMT 2025","Get entity","Exercises","",""
"","283","Create user","LMS service","Mon Aug 04 15:19:51 GMT 2025","passed","Mon Aug 04 15:19:51 GMT 2025","Create entity","Users","",""
"","25","Create course","LMS service","Mon Aug 04 15:19:43 GMT 2025","passed","Mon Aug 04 15:19:43 GMT 2025","Create entity","Courses","",""
"","26","Update course","LMS service","Mon Aug 04 15:19:42 GMT 2025","passed","Mon Aug 04 15:19:43 GMT 2025","Update entity","Courses","",""
"","43","Create file","LMS service","Mon Aug 04 15:19:47 GMT 2025","passed","Mon Aug 04 15:19:47 GMT 2025","Create entity","Files","",""
"","24","Delete file","LMS service","Mon Aug 04 15:19:49 GMT 2025","passed","Mon Aug 04 15:19:49 GMT 2025","Delete entity","Files","",""
"","22","Get courses","LMS service","Mon Aug 04 15:19:42 GMT 2025","passed","Mon Aug 04 15:19:42 GMT 2025","Get entities","Courses","",""
"","283","Create user","LMS service","Mon Aug 04 15:19:51 GMT 2025","passed","Mon Aug 04 15:19:52 GMT 2025","Create entity","Users","",""
"","281","Login with correct email and password","LMS service","Mon Aug 04 15:19:41 GMT 2025","passed","Mon Aug 04 15:19:41 GMT 2025","Login","Authentication","",""
"","17","Update exercise","LMS service","Mon Aug 04 15:19:45 GMT 2025","passed","Mon Aug 04 15:19:45 GMT 2025","Update entity","Exercises","",""
"","42","Create file with empty directory","LMS service","Mon Aug 04 15:19:50 GMT 2025","passed","Mon Aug 04 15:19:50 GMT 2025","Validate entity","Files","",""
"","11","Get file","LMS service","Mon Aug 04 15:19:48 GMT 2025","passed","Mon Aug 04 15:19:48 GMT 2025","Get entity","Files","",""
"","41","Create file with empty filename","LMS service","Mon Aug 04 15:19:49 GMT 2025","passed","Mon Aug 04 15:19:49 GMT 2025","Validate entity","Files","",""
"","283","Create user","LMS service","Mon Aug 04 15:19:51 GMT 2025","passed","Mon Aug 04 15:19:51 GMT 2025","Create entity","Users","",""
"","14","Get exercises","LMS service","Mon Aug 04 15:19:47 GMT 2025","passed","Mon Aug 04 15:19:47 GMT 2025","Get entities","Exercises","",""
"","12","Get user me","LMS service","Mon Aug 04 15:19:52 GMT 2025","passed","Mon Aug 04 15:19:52 GMT 2025","Get entity","Users","",""
"","13","Get file with incorrect file id","LMS service","Mon Aug 04 15:19:51 GMT 2025","passed","Mon Aug 04 15:19:51 GMT 2025","Validate entity","Files","",""
"","14","Get exercise","LMS service","Mon Aug 04 15:19:44 GMT 2025","passed","Mon Aug 04 15:19:44 GMT 2025","Create entity","Exercises","",""
"","22","Delete exercise","LMS service","Mon Aug 04 15:19:46 GMT 2025","passed","Mon Aug 04 15:19:46 GMT 2025","Delete entity","Exercises","",""
